"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Italy","2018","Total","Both Sexes","106","Estimate - de jure","Final figure, complete","2019","259",""
"Italy","2018","Total","Both Sexes","107","Estimate - de jure","Final figure, complete","2019","146",""
"Italy","2018","Total","Both Sexes","108","Estimate - de jure","Final figure, complete","2019","60",""
"Italy","2018","Total","Both Sexes","109","Estimate - de jure","Final figure, complete","2019","39",""
"Italy","2018","Total","Both Sexes","110 +","Estimate - de jure","Final figure, complete","2019","17",""
"Italy","2018","Total","Male","Total","Estimate - de jure","Final figure, complete","2019","29427607",""
"Italy","2018","Total","Male","0","Estimate - de jure","Final figure, complete","2019","234739",""
"Italy","2018","Total","Male","0 - 4","Estimate - de jure","Final figure, complete","2019","1249919",""
"Italy","2018","Total","Male","1","Estimate - de jure","Final figure, complete","2019","243101",""
"Italy","2018","Total","Male","1 - 4","Estimate - de jure","Final figure, complete","2019","1015180",""
"Italy","2018","Total","Male","2","Estimate - de jure","Final figure, complete","2019","250352",""
"Italy","2018","Total","Male","3","Estimate - de jure","Final figure, complete","2019","258651",""
"Italy","2018","Total","Male","4","Estimate - de jure","Final figure, complete","2019","263076",""
"Italy","2018","Total","Male","5","Estimate - de jure","Final figure, complete","2019","274778",""
"Italy","2018","Total","Male","5 - 9","Estimate - de jure","Final figure, complete","2019","1432161",""
"Italy","2018","Total","Male","6","Estimate - de jure","Final figure, complete","2019","280393",""
"Italy","2018","Total","Male","7","Estimate - de jure","Final figure, complete","2019","288411",""
"Italy","2018","Total","Male","8","Estimate - de jure","Final figure, complete","2019","292991",""
"Italy","2018","Total","Male","9","Estimate - de jure","Final figure, complete","2019","295588",""
"Italy","2018","Total","Male","10","Estimate - de jure","Final figure, complete","2019","295160",""
"Italy","2018","Total","Male","10 - 14","Estimate - de jure","Final figure, complete","2019","1475522",""
"Italy","2018","Total","Male","11","Estimate - de jure","Final figure, complete","2019","295998",""
"Italy","2018","Total","Male","12","Estimate - de jure","Final figure, complete","2019","294175",""
"Italy","2018","Total","Male","13","Estimate - de jure","Final figure, complete","2019","296229",""
"Italy","2018","Total","Male","14","Estimate - de jure","Final figure, complete","2019","293960",""
"Italy","2018","Total","Male","15","Estimate - de jure","Final figure, complete","2019","292171",""
"Italy","2018","Total","Male","15 - 19","Estimate - de jure","Final figure, complete","2019","1504897",""
"Italy","2018","Total","Male","16","Estimate - de jure","Final figure, complete","2019","295868",""
"Italy","2018","Total","Male","17","Estimate - de jure","Final figure, complete","2019","302776",""
"Italy","2018","Total","Male","18","Estimate - de jure","Final figure, complete","2019","302866",""
"Italy","2018","Total","Male","19","Estimate - de jure","Final figure, complete","2019","311216",""
"Italy","2018","Total","Male","20","Estimate - de jure","Final figure, complete","2019","309961",""
"Italy","2018","Total","Male","20 - 24","Estimate - de jure","Final figure, complete","2019","1557238",""
