"";"date";"country";"state";"city";"ibgeID";"newDeaths";"deaths";"newCases";"totalCases";"deaths_per_100k_inhabitants";"totalCases_per_100k_inhabitants";"deaths_by_totalCases";"X_source";"is_last";"day1_death";"day_10death";"day_5death";"day1_case";"day_100cases";"day_10cases";"day_25cases";"day_50cases";"day_75cases"
"56";2020-06-04;"Brazil";"CE";"Eusébio/CE";2304285;0;15;0;778;27,97568;1451,00526;0,01928;"SES";TRUE;18353;44;20;18353;33;14;17;27;29
"57";2020-06-04;"Brazil";"CE";"Farias Brito/CE";2304301;0;3;0;53;15,42416;272,49357;0,0566;"SES";TRUE;18355;0;0;18355;0;41;47;59;0
"58";2020-06-04;"Brazil";"CE";"Forquilha/CE";2304350;0;2;0;49;8,25832;202,32885;0,04082;"SES";TRUE;18401;0;0;18363;0;40;49;0;0
"59";2020-06-04;"Brazil";"CE";"Fortaleza/CE";2304400;0;2334;0;25726;87,43728;963,75811;0,09073;"SES";TRUE;18347;8;3;18337;6;2;4;4;5
"60";2020-06-04;"Brazil";"CE";"Fortim/CE";2304459;0;0;0;44;0;266,99029;0;"SES";TRUE;0;0;0;18341;0;55;61;0;0
"61";2020-06-04;"Brazil";"CE";"Frecheirinha/CE";2304509;0;3;0;41;21,31893;291,35873;0,07317;"SES";TRUE;18406;0;0;18379;0;17;33;0;0
"62";2020-06-04;"Brazil";"CE";"General Sampaio/CE";2304608;0;4;0;28;52,50722;367,55054;0,14286;"SES";TRUE;18390;0;0;18381;0;19;33;0;0
"63";2020-06-04;"Brazil";"CE";"Granja/CE";2304707;0;6;0;158;10,9593;288,59502;0,03797;"SES";TRUE;18397;0;18;18367;45;22;32;37;45
"64";2020-06-04;"Brazil";"CE";"Graça/CE";2304657;0;0;0;61;0;423,64053;0;"SES";TRUE;0;0;0;18365;0;26;35;47;0
"65";2020-06-04;"Brazil";"CE";"Groaíras/CE";2304905;0;2;0;94;18,07011;849,29527;0,02128;"SES";TRUE;18395;0;0;18370;0;19;30;42;45
"66";2020-06-04;"Brazil";"CE";"Guaiúba/CE";2304954;0;9;0;96;34,53039;368,32413;0,09375;"SES";TRUE;18392;0;11;18369;0;17;20;31;44
"67";2020-06-04;"Brazil";"CE";"Guaraciaba do Norte/CE";2305001;0;3;0;67;7,38153;164,85409;0,04478;"SES";TRUE;18399;0;0;18358;0;36;42;51;0
"68";2020-06-04;"Brazil";"CE";"Guaramiranga/CE";2305100;0;0;0;12;0;231,0803;0;"SES";TRUE;0;0;0;18382;0;18;0;0;0
"69";2020-06-04;"Brazil";"CE";"Hidrolândia/CE";2305209;0;2;0;21;10,01101;105,11563;0,09524;"SES";TRUE;18403;0;0;18371;0;30;0;0;0
"70";2020-06-04;"Brazil";"CE";"Horizonte/CE";2305233;0;21;0;424;31,18642;629,66868;0,04953;"SES";TRUE;18362;43;39;18356;35;11;22;30;31
"71";2020-06-04;"Brazil";"CE";"Ibaretama/CE";2305266;0;4;0;10;29,95582;74,88954;0,4;"SES";TRUE;18375;0;0;18369;0;44;0;0;0
"72";2020-06-04;"Brazil";"CE";"Ibiapina/CE";2305308;0;1;0;54;4,00048;216,02592;0,01852;"SES";TRUE;18415;0;0;18382;0;14;22;33;0
"73";2020-06-04;"Brazil";"CE";"Ibicuitinga/CE";2305332;0;3;0;117;23,9521;934,13174;0,02564;"SES";TRUE;18382;0;0;18371;43;15;18;29;40
"74";2020-06-04;"Brazil";"CE";"Icapuí/CE";2305357;0;3;0;86;15,04966;431,4237;0,03488;"SES";TRUE;18395;0;0;18360;0;29;37;52;55
"75";2020-06-04;"Brazil";"CE";"Icó/CE";2305407;0;3;0;73;4,4106;107,32453;0,0411;"SES";TRUE;18394;0;0;18354;0;38;46;58;0
"76";2020-06-04;"Brazil";"CE";"Iguatu/CE";2305506;0;15;0;126;14,63443;122,92923;0,11905;"SES";TRUE;18357;54;25;18357;55;16;21;33;40
"77";2020-06-04;"Brazil";"CE";"Independência/CE";2305605;0;4;0;27;15,28001;103,14004;0,14815;"SES";TRUE;18376;0;0;18362;0;35;42;0;0
"78";2020-06-04;"Brazil";"CE";"Ipaporanga/CE";2305654;0;0;0;39;0;336,4099;0;"SES";TRUE;0;0;0;18355;0;38;57;0;0
"79";2020-06-04;"Brazil";"CE";"Ipaumirim/CE";2305704;0;1;0;8;8,02375;64,19;0,125;"SES";TRUE;18416;0;0;18374;0;0;0;0;0
"80";2020-06-04;"Brazil";"CE";"Ipu/CE";2305803;0;2;0;39;4,76599;92,9368;0,05128;"SES";TRUE;18403;0;0;18379;0;14;33;0;0
"81";2020-06-04;"Brazil";"CE";"Ipueiras/CE";2305902;0;2;0;56;5,24027;146,72745;0,03571;"SES";TRUE;18369;0;0;18357;0;43;55;58;0
"82";2020-06-04;"Brazil";"CE";"Iracema/CE";2306009;0;1;0;14;6,99447;97,92264;0,07143;"SES";TRUE;18391;0;0;18375;0;37;0;0;0
"83";2020-06-04;"Brazil";"CE";"Irauçuba/CE";2306108;0;5;0;77;20,69879;318,76138;0,06494;"SES";TRUE;18403;0;10;18378;0;12;15;34;37
"84";2020-06-04;"Brazil";"CE";"Itaitinga/CE";2306256;0;18;0;265;47,39336;697,73565;0,06792;"SES";TRUE;18358;34;29;18350;40;23;26;35;37
"85";2020-06-04;"Brazil";"CE";"Itaiçaba/CE";2306207;0;5;0;43;63,88144;549,38035;0,11628;"SES";TRUE;18393;0;21;18360;0;36;52;0;0
"86";2020-06-04;"Brazil";"CE";"Itapajé/CE";2306306;0;12;0;320;22,78121;607,49881;0,0375;"SES";TRUE;18395;20;8;18354;50;35;39;43;46
"87";2020-06-04;"Brazil";"CE";"Itapipoca/CE";2306405;0;58;0;1056;44,83681;816,33915;0,05492;"SES";TRUE;18382;9;4;18354;34;23;27;28;32
"88";2020-06-04;"Brazil";"CE";"Itapiúna/CE";2306504;0;3;0;72;14,71887;353,25287;0,04167;"SES";TRUE;18386;0;0;18369;0;20;27;43;0
"89";2020-06-04;"Brazil";"CE";"Itarema/CE";2306553;0;12;0;671;28,69029;1604,26529;0,01788;"SES";TRUE;18397;14;0;18363;37;25;26;34;34
"90";2020-06-04;"Brazil";"CE";"Itatira/CE";2306603;0;6;0;239;27,71747;1104,07909;0,0251;"SES";TRUE;18383;0;31;18374;31;15;23;27;28
"91";2020-06-04;"Brazil";"CE";"Jaguaretama/CE";2306702;0;2;0;39;11,012;214,73406;0,05128;"SES";TRUE;18392;0;0;18372;0;19;32;0;0
"92";2020-06-04;"Brazil";"CE";"Jaguaribara/CE";2306801;0;1;0;34;8,77116;298,21945;0,02941;"SES";TRUE;18390;0;0;18378;0;9;34;0;0
"93";2020-06-04;"Brazil";"CE";"Jaguaribe/CE";2306900;0;6;0;128;17,30004;369,06753;0,04688;"SES";TRUE;18355;0;48;18354;58;17;40;48;58
"94";2020-06-04;"Brazil";"CE";"Jaguaruana/CE";2307007;0;2;0;94;5,93384;278,89037;0,02128;"SES";TRUE;18387;0;0;18370;0;25;34;42;45
"95";2020-06-04;"Brazil";"CE";"Jardim/CE";2307106;0;1;0;4;3,67999;14,71995;0,25;"SES";TRUE;18415;0;0;18371;0;0;0;0;0
"96";2020-06-04;"Brazil";"CE";"Jati/CE";2307205;0;1;0;3;12,32894;36,98681;0,33333;"SES";TRUE;18407;0;0;18400;0;0;0;0;0
"97";2020-06-04;"Brazil";"CE";"Jijoca de Jericoacoara/CE";2307254;0;1;0;110;5,04643;555,10698;0,00909;"SES";TRUE;18397;0;0;18389;26;0;8;13;23
"98";2020-06-04;"Brazil";"CE";"Juazeiro do Norte/CE";2307304;0;15;0;337;5,47032;122,89985;0,04451;"SES";TRUE;18384;24;9;18341;69;35;49;59;63
"99";2020-06-04;"Brazil";"CE";"Jucás/CE";2307403;0;1;0;14;4,0269;56,3766;0,07143;"SES";TRUE;18399;0;0;18367;0;45;0;0;0
"100";2020-06-04;"Brazil";"CE";"Lavras da Mangabeira/CE";2307502;0;1;0;22;3,1738;69,82354;0,04545;"SES";TRUE;18387;0;0;18358;0;40;0;0;0
"101";2020-06-04;"Brazil";"CE";"Limoeiro do Norte/CE";2307601;0;8;0;312;13,43635;524,01747;0,02564;"SES";TRUE;18363;0;47;18357;45;19;30;39;40
"102";2020-06-04;"Brazil";"CE";"Madalena/CE";2307635;0;4;0;69;20,31385;350,41389;0,05797;"SES";TRUE;18404;0;0;18380;0;10;20;32;0
"103";2020-06-04;"Brazil";"CE";"Maracanaú/CE";2307650;0;131;0;1795;57,48488;787,67454;0,07298;"SES";TRUE;18357;21;14;18350;25;7;15;18;22
"104";2020-06-04;"Brazil";"CE";"Maranguape/CE";2307700;0;55;0;803;42,64293;622,5868;0,06849;"SES";TRUE;18365;20;14;18348;38;20;27;30;38
"105";2020-06-04;"Brazil";"CE";"Marco/CE";2307809;0;3;0;73;10,96451;266,80311;0,0411;"SES";TRUE;18416;0;0;18377;0;16;20;35;0
"106";2020-06-04;"Brazil";"CE";"Martinópole/CE";2307908;0;0;0;8;0;71,21873;0;"SES";TRUE;0;0;0;18378;0;0;0;0;0
"107";2020-06-04;"Brazil";"CE";"Massapê/CE";2308005;0;16;0;424;41,30418;1094,56076;0,03774;"SES";TRUE;18376;34;22;18367;33;19;22;33;33
"108";2020-06-04;"Brazil";"CE";"Mauriti/CE";2308104;0;7;0;68;14,59489;141,77891;0,10294;"SES";TRUE;18385;0;18;18345;0;55;59;67;0
"109";2020-06-04;"Brazil";"CE";"Meruoca/CE";2308203;0;3;0;43;19,92429;285,58146;0,06977;"SES";TRUE;18401;0;0;18381;0;15;31;0;0
"110";2020-06-04;"Brazil";"CE";"Milagres/CE";2308302;0;1;0;21;3,63478;76,33033;0,04762;"SES";TRUE;18414;0;0;18371;0;29;0;0;0
"111";2020-06-04;"Brazil";"CE";"Milhã/CE";2308351;0;2;0;27;15,20334;205,24515;0,07407;"SES";TRUE;18395;0;0;18382;0;15;30;0;0
"112";2020-06-04;"Brazil";"CE";"Miraíma/CE";2308377;0;3;0;54;21,71081;390,79462;0,05556;"SES";TRUE;18378;0;0;18378;0;24;36;37;0
"113";2020-06-04;"Brazil";"CE";"Missão Velha/CE";2308401;0;0;0;52;0;146,92171;0;"SES";TRUE;0;0;0;18379;0;21;33;36;0
"114";2020-06-04;"Brazil";"CE";"Mombaça/CE";2308500;0;4;0;68;9,13305;155,26178;0,05882;"SES";TRUE;18374;0;0;18360;0;26;42;52;0
"115";2020-06-04;"Brazil";"CE";"Monsenhor Tabosa/CE";2308609;0;3;0;44;17,40745;255,30927;0,06818;"SES";TRUE;18385;0;0;18382;0;11;22;0;0
"116";2020-06-04;"Brazil";"CE";"Morada Nova/CE";2308708;0;5;0;490;8,07885;791,72726;0,0102;"SES";TRUE;18404;0;10;18377;20;10;11;13;19
"117";2020-06-04;"Brazil";"CE";"Moraújo/CE";2308807;0;1;0;83;11,46263;951,39844;0,01205;"SES";TRUE;18385;0;0;18385;0;8;20;27;30
