shape_CD_GEOCODM	date	country	state	city	ibgeID	newDeaths	deaths	newCases	totalCases	deaths_per_100k_inhabitants	totalCases_per_100k_inhabitants	deaths_by_totalCases	X_source	is_last	day1_death	day_10death	day_5death	day1_case	day_100cases	day_10cases	day_25cases	day_50cases	day_75cases	tem_rodo	tem_rodo_1	tem_rodo_2	MapaCD_GEOCODM	MapaTematico	Cluster_Espacial	Label_Cluster_Espacial	ID da observação dos clusters	Cluster 30	Cluster 29	Cluster 28	Cluster 27	Cluster 26	Cluster 25	Cluster 24	Cluster 23	Cluster 22	Cluster 21	Cluster 20	Cluster 19	Cluster 18	
3556008	12/06/2020	Brazil	SP	Urup�s/SP	3556008	0	0	0	3	0	21,72496	0	SES	TRUE	0	0	0	18396	0	0	0	0	0	0	0	0	627	0	1	Conglomerado 1	3556008	1	1	1	1	1	1	1	1	1	1	1	1	1	
3556107	12/06/2020	Brazil	SP	Valentim Gentil/SP	3556107	0	0	0	17	0	127,57016	0	SES	TRUE	0	0	0	18398	0	20	0	0	0	0	0	0	628	0	1	Conglomerado 1	3556107	1	1	1	1	1	1	1	1	1	1	1	1	1	
3556206	12/06/2020	Brazil	SP	Valinhos/SP	3556206	0	6	19	276	4,64421	213,63387	0,02174	SES	TRUE	18366	0	42	18346	62	24	35	50	57	0	0	1	629	0	2	Conglomerado 2	3556206	2	2	2	2	2	2	2	2	2	2	2	2	2	
3556305	12/06/2020	Brazil	SP	Valpara�so/SP	3556305	0	1	2	39	3,77644	147,28097	0,02564	SES	TRUE	18420	0	0	18391	0	23	26	0	0	0	0	0	630	0	0	Conglomerado 0	3556305	0	0	0	0	0	0	0	0	0	0	0	0	0	
3556354	12/06/2020	Brazil	SP	Vargem/SP	3556354	0	0	0	5	0	47,45184	0	SES	TRUE	0	0	0	18381	0	0	0	0	0	0	0	1	631	0	17	Conglomerado 17	3556354	216	216	216	216	216	216	216	216	216	216	216	216	216	
3556404	12/06/2020	Brazil	SP	Vargem Grande do Sul/SP	3556404	0	0	1	30	0	70,01984	0	SES	TRUE	0	0	0	18383	0	22	35	0	0	0	1	0	632	0	1	Conglomerado 1	3556404	1	1	1	1	1	1	1	1	1	1	1	1	1	
3556453	12/06/2020	Brazil	SP	Vargem Grande Paulista/SP	3556453	1	10	4	137	19,01249	260,47113	0,07299	SES	TRUE	18346	79	62	18340	79	32	57	65	75	0	0	1	633	0	2	Conglomerado 2	3556453	2	2	2	2	2	2	2	2	2	2	2	2	2	
3556503	12/06/2020	Brazil	SP	V�rzea Paulista/SP	3556503	1	17	4	236	13,95295	193,69983	0,07203	SES	TRUE	18374	38	25	18366	43	11	22	33	38	0	0	0	634	0	2	Conglomerado 2	3556503	2	2	2	2	2	2	2	2	2	2	2	2	2	
3556602	0	0	0	0	3556602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	635	1	1	Conglomerado 1	3556602	1	1	1	1	1	1	1	1	1	1	1	1	1	
3556701	12/06/2020	Brazil	SP	Vinhedo/SP	3556701	0	2	4	146	2,54039	185,44863	0,0137	SES	TRUE	18375	0	0	18352	65	16	27	45	57	0	0	1	636	0	2	Conglomerado 2	3556701	2	2	2	2	2	2	2	2	2	2	2	2	2	
3556800	12/06/2020	Brazil	SP	Viradouro/SP	3556800	0	2	0	7	10,58313	37,04096	0,28571	SES	TRUE	18390	0	0	18390	0	0	0	0	0	0	0	0	637	0	11	Conglomerado 11	3556800	52	52	52	52	52	52	52	52	52	52	52	52	52	
3556909	12/06/2020	Brazil	SP	Vista Alegre do Alto/SP	3556909	0	2	0	35	22,70148	397,27582	0,05714	SES	TRUE	18416	0	0	18373	0	45	46	0	0	0	0	0	638	0	11	Conglomerado 11	3556909	52	52	52	52	52	52	52	52	52	52	52	52	52	
3556958	0	0	0	0	3556958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	1	Conglomerado 1	3556958	1	1	1	1	1	1	1	1	1	1	1	1	1	
3557006	12/06/2020	Brazil	SP	Votorantim/SP	3557006	0	12	1	232	9,79752	189,41868	0,05172	SES	TRUE	18368	55	41	18352	57	27	38	46	51	0	0	1	640	0	2	Conglomerado 2	3557006	2	2	2	2	2	2	2	2	2	2	2	2	2	
3557105	12/06/2020	Brazil	SP	Votuporanga/SP	3557105	0	7	21	159	7,40373	168,17033	0,04403	SES	TRUE	18393	0	23	18352	70	26	41	60	65	1	0	0	641	0	1	Conglomerado 1	3557105	143	143	143	143	143	143	143	1	1	1	1	1	1	
3557154	12/06/2020	Brazil	SP	Zacarias/SP	3557154	0	0	0	2	0	73,58352	0	SES	TRUE	0	0	0	18403	0	0	0	0	0	1	0	0	642	0	1	Conglomerado 1	3557154	1	1	1	1	1	1	1	1	1	1	1	1	1	
3557204	12/06/2020	Brazil	SP	Chavantes/SP	3557204	0	0	0	1	0	8,05283	0	SES	TRUE	0	0	0	18373	0	0	0	0	0	0	0	0	643	0	3	Conglomerado 3	3557204	5	5	5	5	5	5	5	5	5	5	5	5	5	
3557303	12/06/2020	Brazil	SP	Estiva Gerbi/SP	3557303	0	0	0	7	0	61,92498	0	SES	TRUE	0	0	0	18363	0	0	0	0	0	0	0	0	644	0	2	Conglomerado 2	3557303	2	2	2	2	2	2	2	2	2	2	2	2	2	
